hinc,unemployed,age,married,migback,health,happiness
4000,0,57,1,1,7,8
4000,0,56,1,0,5,6
4000,0,24,0,0,8,8
4500,0,50,1,0,9,6
4500,0,65,1,0,8,9
4500,0,60,1,0,5,5
4900,0,29,1,0,3,8
2700,0,74,1,0,8,8
2700,0,73,1,0,8,8
4200,0,47,0,0,8,9
3250,0,54,1,1,5,8
4900,0,62,1,0,7,8
2250,0,70,1,0,7,7
2250,0,68,1,0,7,7
3000,0,52,0,0,7,8
3400,0,46,1,0,7,9
1744,0,89,1,0,2,8
1744,0,86,1,0,7,9
2400,0,75,1,0,6,7
2300,0,61,1,0,4,7
2300,0,59,1,0,7,8
NA,0,37,1,0,8,8
3400,0,51,0,0,9,8
5000,0,49,1,0,8,8
5000,0,17,0,1,NA,NA
NA,0,57,1,0,8,8
2440,0,82,1,0,2,5
2440,0,81,1,0,6,7
3900,0,49,1,0,3,8
NA,0,88,0,0,7,7
2800,0,81,1,0,6,5
4100,0,52,0,0,7,7
538,0,73,0,0,3,4
5300,0,50,1,0,4,7
3500,0,64,1,0,6,8
3500,0,82,0,0,10,9
2500,0,64,1,0,7,8
2500,0,55,1,0,4,7
1556,0,35,0,1,6,7
2536,0,79,1,0,6,7
2536,0,76,1,0,7,7
1203,0,91,0,1,1,5
900,0,85,0,0,7,10
1720,0,66,1,1,8,8
1720,0,63,1,0,8,7
1500,0,42,1,1,6,7
3500,0,48,0,0,9,8
620,0,72,0,0,9,9
1096,0,52,0,0,4,3
3000,0,70,1,0,8,8
3000,0,67,1,0,8,8
13000,0,43,1,0,6,6
8000,0,71,1,0,8,8
8000,0,65,1,0,8,9
4400,0,35,1,0,9,9
3560,0,48,1,0,7,8
1900,0,56,1,0,7,7
1043,0,78,0,0,1,3
1600,0,82,0,1,5,8
2500,0,50,1,1,7,8
NA,0,44,1,0,7,8
2000,0,51,0,1,3,4
1800,0,76,1,0,8,8
1800,0,67,1,0,10,8
1200,0,42,0,0,9,9
2300,0,65,1,0,5,8
2300,0,65,1,1,3,9
1591,1,43,0,0,6,8
950,0,80,0,0,5,8
NA,0,55,0,0,8,10
5000,0,47,1,0,7,8
1700,0,81,0,0,5,5
1700,0,73,1,0,9,8
1700,0,74,1,0,7,9
6000,0,43,0,0,8,8
7500,0,47,1,0,8,7
3200,0,59,1,0,3,4
2500,0,49,0,0,6,8
1900,0,76,1,0,6,9
1900,0,66,1,0,8,8
1300,0,91,0,0,5,5
1300,0,59,0,1,5,5
3500,0,64,1,0,10,8
1923,0,74,1,0,7,8
1923,0,70,1,0,7,7
4500,0,42,0,0,6,7
2927,0,59,0,0,7,8
805,0,55,0,0,0,2
614,0,64,0,0,5,7
1350,0,31,0,0,8,7
2218,0,59,0,1,5,6
1800,0,39,0,1,8,8
2468,0,37,1,1,6,8
2218,1,34,0,1,9,4
1932,0,58,1,0,9,10
1932,0,54,1,0,6,8
3000,0,73,1,0,1,5
3000,0,66,1,0,6,7
2000,0,80,0,0,6,7
2550,0,58,1,0,8,8
2550,0,58,1,0,8,8
1165,0,92,0,0,4,7
1400,0,54,0,0,8,5
4000,0,47,1,0,5,8
NA,0,79,0,1,3,9
5000,0,53,1,1,8,8
5000,0,53,1,0,9,9
1060,0,75,0,0,3,6
1228,1,54,0,1,7,8
1324,0,47,0,1,8,8
3500,0,62,1,0,8,8
3500,0,59,1,0,9,10
NA,0,29,0,0,9,10
1500,0,76,1,0,8,8
1500,0,69,1,0,5,8
4100,0,79,0,0,7,8
2100,0,76,1,0,7,7
2100,0,76,1,0,8,8
4500,0,54,0,0,8,8
1840,0,74,1,0,5,6
1840,0,78,1,0,6,8
3800,0,44,1,0,8,8
3200,0,60,0,0,7,7
1100,1,60,1,0,9,8
1100,1,61,1,0,2,7
1050,0,90,0,0,7,8
2000,0,81,0,0,7,7
2000,0,49,0,0,7,7
961,0,82,0,0,5,8
3500,0,53,0,0,4,7
1220,0,78,0,0,8,8
1150,0,73,0,0,4,6
3877,0,47,1,0,6,3
3500,0,52,1,0,5,7
3700,0,55,1,0,8,7
3700,0,55,1,0,8,7
2300,0,41,1,0,10,5
2500,0,62,1,0,8,7
2500,0,59,1,0,8,8
7500,0,49,0,0,7,6
3800,0,62,1,0,7,8
4300,0,36,1,0,6,7
3595,0,67,1,0,8,9
3595,0,68,1,1,8,8
5200,0,63,1,0,8,9
3300,0,76,1,0,5,5
3300,0,76,1,1,5,8
3300,0,49,0,1,3,3
3300,0,27,0,0,10,9
4300,0,63,1,0,6,7
4300,0,66,1,0,7,7
NA,0,54,1,1,3,5
1600,0,29,0,0,8,8
NA,0,27,0,0,9,8
2200,0,75,1,0,5,8
2200,0,74,1,0,7,8
3400,0,41,1,0,8,8
950,0,81,0,0,3,6
3300,0,41,1,0,7,8
4250,0,48,1,1,8,8
