unemployed,educ,health,age,female,migback
0,10,6,72,1,1
0,12,7,32,0,1
0,NA,4,84,0,0
0,9,7,72,1,1
0,10.5,8,45,1,0
0,15,8,36,0,0
0,12,8,68,0,0
0,10.5,3,61,1,1
0,11.5,6,50,0,0
0,10.5,3,41,1,0
0,9,4,64,0,1
0,10.5,7,67,1,0
0,9,2,79,1,0
0,10.5,4,78,0,0
0,14,3,56,0,0
0,11,4,52,1,0
0,14,6,56,1,0
0,11,3,55,0,0
0,9,3,43,1,0
0,9,3,51,0,0
0,12,6,51,0,0
0,10.5,3,59,0,0
0,12,5,57,1,0
0,10.5,6,44,1,0
0,10.5,7,42,0,0
0,9,7,76,1,0
0,NA,8,84,1,0
0,10.5,2,79,1,1
0,12,7,42,0,1
0,11.5,8,78,1,0
0,12,8,45,1,0
0,10.5,8,45,1,0
0,10.5,6,72,0,0
0,10.5,4,82,0,0
0,9,3,78,1,0
0,10.5,7,48,0,0
0,11.5,5,44,1,0
0,11,8,50,1,1
0,11.5,7,22,1,0
0,13,9,19,0,0
0,9,7,77,1,0
0,10.5,5,94,0,0
0,9,5,83,0,0
0,9,5,53,0,0
0,9,10,51,0,0
0,9,7,49,0,0
0,10.5,8,48,0,0
0,10.5,5,77,0,0
0,10.5,8,40,1,0
0,10,5,58,0,0
0,12,7,60,0,0
0,11.5,8,56,1,0
0,9,2,76,1,0
1,12,6,52,1,0
0,12,NA,58,1,0
0,10.5,7,74,1,0
0,11.5,9,54,0,0
0,11.5,10,46,0,0
0,9,9,57,0,0
0,11.5,9,59,1,0
0,9,4,81,1,0
0,10.5,7,43,1,0
0,10.5,6,48,0,0
0,11.5,7,38,1,0
0,11,4,64,0,0
1,11,3,62,1,0
0,13.5,4,37,0,0
0,14,5,27,0,0
0,11,7,63,0,0
0,12,7,57,1,1
0,18,9,32,1,1
0,11.5,6,25,1,1
0,NA,8,22,1,1
0,11,7,75,0,0
0,9,5,76,1,0
0,10,9,65,1,0
0,10.5,8,64,0,1
0,10.5,7,38,1,0
0,10.5,6,65,0,0
0,10.5,8,62,1,0
0,11,8,40,0,0
0,12,9,36,1,0
0,15,5,75,0,0
0,11.5,5,67,1,1
0,11,5,79,0,0
0,10.5,10,68,1,0
0,12,5,60,0,0
0,11.5,8,57,1,0
0,13,6,24,0,0
0,13,8,22,1,0
0,16,8,60,0,0
0,12,6,65,0,0
0,9,4,63,1,0
0,13,5,27,1,0
0,10.5,9,72,0,0
0,10.5,4,70,1,0
0,11,8,45,0,0
0,12,9,52,0,0
0,NA,4,77,0,0
0,10.5,1,73,1,0
0,10,8,49,1,0
0,10.5,6,59,0,0
0,11,8,59,1,0
0,10.5,6,34,1,0
0,14,7,31,1,0
0,18,8,43,1,0
0,15,8,42,0,0
0,12,6,52,0,0
0,10.5,7,51,1,1
0,12,4,32,0,1
0,11.5,7,56,1,0
0,11.5,9,22,0,0
0,9,10,19,1,0
0,11,3,44,1,0
0,11.5,5,74,1,0
0,10.5,10,38,0,0
0,15,8,76,0,0
0,14.5,5,45,0,1
0,11.5,7,43,0,0
0,11,NA,67,0,1
0,11,8,63,1,0
0,9,8,82,1,0
0,18,8,43,0,0
0,15,7,46,1,0
0,10.5,9,67,0,0
0,10.5,4,67,1,1
0,15,5,61,1,0
0,10.5,9,47,0,0
0,11.5,7,45,1,0
0,10.5,5,71,0,1
0,10,3,61,1,1
0,9,7,62,0,1
0,11.5,7,38,1,1
0,10,7,35,0,1
0,18,9,48,0,1
0,7,5,80,1,1
0,10.5,5,55,1,1
0,9,9,58,0,1
0,18,8,48,1,1
